time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/value_loss,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/clip_range,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/loss,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate
23,10981,549,6029312,0.0023883091780589893,0.31115245819091797,174.47,176,0.2,0.9116931124031544,0.06818628311157227,-10.991779528558254,-0.11264356225728989,0.006106163,1.1680034399032593,-0.0018940697646030458,0.0003
24,10918,576,6291456,0.005630677525914507,0.2955434322357178,146.16,184,0.2,0.8275110585987568,0.0754251480102539,-11.06025306135416,-0.11081869155168533,0.006463639,1.1812736988067627,-0.0010783976481434365,0.0003
25,10862,603,6553600,0.004033959141452215,0.3166359066963196,185.38,192,0.2,1.0996699358522892,0.06658029556274414,-11.12829377502203,-0.11225444078445435,0.006946707,1.1912635564804077,-0.0010965703522742842,0.0003
26,10812,630,6815744,0.005236285998762469,0.3579888343811035,152.93,200,0.2,0.9381013761460781,0.061753273010253906,-11.179089590907097,-0.11332004517316818,0.0052790428,1.200087308883667,-0.00073972722657345,0.0003
27,10754,658,7077888,0.005078279433291755,0.3547295331954956,149.98,208,0.2,0.9602671226859093,0.06929254531860352,-11.236484929919243,-0.11363180726766586,0.0061772456,1.2099390029907227,-0.001252721949640545,0.0003
28,10708,685,7340032,0.006085910172259901,0.4106353521347046,126.48,216,0.2,0.7359226521849632,0.06711673736572266,-11.305272176861763,-0.11396970599889755,0.005355337,1.223667860031128,-0.0008602390280429972,0.0003
29,10671,712,7602176,0.00476298872854386,0.3701965808868408,166.13,224,0.2,1.046661967933178,0.05984306335449219,-11.359144687652588,-0.11283794045448303,0.0062712035,1.2311004400253296,-0.0010889178379329678,0.0003
30,10630,739,7864320,0.00432839640234306,0.4970585107803345,160.5,232,0.2,1.011369543299079,0.058925628662109375,-11.408972971141338,-0.11549217998981476,0.0058839107,1.240906000137329,-0.0012793353453162126,0.0003
31,10587,767,8126464,0.005300494533003075,0.42318564653396606,154.28,240,0.2,0.9067694624513387,0.05927610397338867,-11.459636114537716,-0.11536642163991928,0.0060082087,1.2504940032958984,-0.000797011501617817,0.0003
32,10553,794,8388608,0.006934316839760868,0.4485880136489868,153.03,248,0.2,1.0862020390480758,0.05816793441772461,-11.509956441819668,-0.11486782878637314,0.005985719,1.2595776319503784,-0.0006983040223076387,0.0003
