"Step","floral-sweep-1 - rollout/ep_rew_mean","floral-sweep-1 - rollout/ep_rew_mean__MIN","floral-sweep-1 - rollout/ep_rew_mean__MAX"
"0","0.6124605536460876","0.6124605536460876","0.6124605536460876"
"1","0.6124605536460876","0.6124605536460876","0.6124605536460876"
"2","0.6124605536460876","0.6124605536460876","0.6124605536460876"
"3","0.599702000617981","0.599702000617981","0.599702000617981"
"4","0.5985699892044067","0.5985699892044067","0.5985699892044067"
"5","0.6004152297973633","0.6004152297973633","0.6004152297973633"
"6","0.6002642512321472","0.6002642512321472","0.6002642512321472"
"7","0.703992486000061","0.703992486000061","0.703992486000061"
"8","0.6957938075065613","0.6957938075065613","0.6957938075065613"
"9","0.681701123714447","0.681701123714447","0.681701123714447"
"10","0.7496320605278015","0.7496320605278015","0.7496320605278015"
"11","0.7714023590087891","0.7714023590087891","0.7714023590087891"
"12","0.7759166955947876","0.7759166955947876","0.7759166955947876"
"13","0.8414416313171387","0.8414416313171387","0.8414416313171387"
"14","1.0261976718902588","1.0261976718902588","1.0261976718902588"
"15","0.8662310242652893","0.8662310242652893","0.8662310242652893"
"16","0.859743595123291","0.859743595123291","0.859743595123291"
"17","0.9951334595680237","0.9951334595680237","0.9951334595680237"
"18","0.9581233263015747","0.9581233263015747","0.9581233263015747"
"19","1.0685471296310425","1.0685471296310425","1.0685471296310425"
"20","1.0724910497665405","1.0724910497665405","1.0724910497665405"
"21","1.0696698427200317","1.0696698427200317","1.0696698427200317"
"22","1.2958471775054932","1.2958471775054932","1.2958471775054932"
"23","1.0952638387680054","1.0952638387680054","1.0952638387680054"
"24","1.131870985031128","1.131870985031128","1.131870985031128"
"25","1.3041375875473022","1.3041375875473022","1.3041375875473022"
"26","1.229665994644165","1.229665994644165","1.229665994644165"
"27","1.2642678022384644","1.2642678022384644","1.2642678022384644"
"28","1.585299015045166","1.585299015045166","1.585299015045166"
"29","1.404462456703186","1.404462456703186","1.404462456703186"
"30","1.4741973876953125","1.4741973876953125","1.4741973876953125"
"31","1.3600019216537476","1.3600019216537476","1.3600019216537476"
"32","1.4953089952468872","1.4953089952468872","1.4953089952468872"
"33","1.5780972242355347","1.5780972242355347","1.5780972242355347"
"34","1.6330276727676392","1.6330276727676392","1.6330276727676392"
"35","1.7580008506774902","1.7580008506774902","1.7580008506774902"
"36","1.7004568576812744","1.7004568576812744","1.7004568576812744"
"37","1.9909956455230713","1.9909956455230713","1.9909956455230713"
"38","2.192723035812378","2.192723035812378","2.192723035812378"
"39","1.8010064363479614","1.8010064363479614","1.8010064363479614"
"40","1.7710038423538208","1.7710038423538208","1.7710038423538208"
"41","1.8151193857192993","1.8151193857192993","1.8151193857192993"
"42","1.9587494134902954","1.9587494134902954","1.9587494134902954"
"43","1.6948267221450806","1.6948267221450806","1.6948267221450806"
"44","1.905748724937439","1.905748724937439","1.905748724937439"
"45","1.7502665519714355","1.7502665519714355","1.7502665519714355"
"46","2.042558193206787","2.042558193206787","2.042558193206787"
"47","1.8872253894805908","1.8872253894805908","1.8872253894805908"
"48","1.8837554454803467","1.8837554454803467","1.8837554454803467"
"49","1.8222702741622925","1.8222702741622925","1.8222702741622925"
"50","1.9241294860839844","1.9241294860839844","1.9241294860839844"
"51","2.1063687801361084","2.1063687801361084","2.1063687801361084"
"52","1.8905164003372192","1.8905164003372192","1.8905164003372192"
"53","1.6237759590148926","1.6237759590148926","1.6237759590148926"
"54","1.8780542612075806","1.8780542612075806","1.8780542612075806"
"55","1.620078444480896","1.620078444480896","1.620078444480896"
"56","1.6858302354812622","1.6858302354812622","1.6858302354812622"
"57","1.6811070442199707","1.6811070442199707","1.6811070442199707"
"58","2.935121536254883","2.935121536254883","2.935121536254883"
