time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
811,33,10658,8650752,0.0050140484,-0.11518347263336182,-11.346426352858543,0.0016277014128718292,0.0003,-0.0005872510305380274,0.32842326164245605,1.2322907447814941,256,0.2,0.053882598876953125,147.51,0.9612923693656922
837,34,10637,8912896,0.005427001,-0.1154344379901886,-11.382413499057293,0.0017150794838016736,0.0003,-0.0008166886091203196,0.35731154680252075,1.2379616498947144,264,0.2,0.06034231185913086,146.22,0.9654821928590536
865,35,10603,9175040,0.00571474,-0.11657547205686569,-11.409571416676044,0.0018683308217077865,0.0003,-0.0013716319704144553,0.32973921298980713,1.243149757385254,272,0.2,0.059764862060546875,137.0,0.918799702823162
891,36,10581,9437184,0.0056710807,-0.11597143113613129,-11.428186066448689,0.0016187966166398837,0.0003,-0.0009731134800858854,0.39208316802978516,1.2466349601745605,280,0.2,0.05507326126098633,143.41,0.9909360751509666
918,37,10555,9699328,0.0061511453,-0.11644183099269867,-11.44868190586567,0.0017855644427982043,0.0003,-0.0007413366274704458,0.35089248418807983,1.2513670921325684,288,0.2,0.06419038772583008,140.52,0.9583944331109524
945,38,10535,9961472,0.0054835044,-0.11761172860860825,-11.469454281032085,0.00227702572101407,0.0003,-0.0013377949740061013,0.4049522280693054,1.256077527999878,296,0.2,0.05116558074951172,140.45,0.9344356661010533
972,39,10516,10223616,0.005587222,-0.11656557768583298,-11.488506950438023,0.0018564723168310593,0.0003,-0.0012167153881819104,0.37582606077194214,1.2598797082901,304,0.2,0.051625728607177734,150.86,1.0306978529319166
999,40,10486,10485760,0.0052028936,-0.11688172817230225,-11.50289349257946,0.0015744654438094585,0.0003,-0.0007282375481736381,0.34821397066116333,1.263342261314392,312,0.2,0.05523681640625,127.04,0.8169787699915468
1026,41,10470,10747904,0.0052624745,-0.11679390072822571,-11.522501841187477,0.002284373880684143,0.0003,-0.0005105987020215252,0.3108208179473877,1.2684237957000732,320,0.2,0.05869626998901367,131.48,0.8860473588109017
1053,42,10451,11010048,0.004898293,-0.11616400629281998,-11.542775765061378,0.0018179408052674262,0.0003,-0.0007507196310143627,0.3770672082901001,1.2732833623886108,328,0.2,0.05002403259277344,140.85,0.9638906215131283
1080,43,10436,11272192,0.0064946585,-0.11598462611436844,-11.560024850070477,0.0016650883444526698,0.0003,-0.0006847132694929314,0.3266800045967102,1.2769575119018555,336,0.2,0.05846881866455078,121.96,0.8125183298438787
1108,44,10409,11534336,0.0065873563,-0.11692306399345398,-11.592744022607803,0.0026609798824210884,0.0003,-0.0008598913195783098,0.3490752577781677,1.2860158681869507,344,0.2,0.06429862976074219,130.39,0.8823039013892412
1134,45,10396,11796480,0.0054571936,-0.11758461594581604,-11.625271320343018,0.0018391091780358693,0.0003,-0.0006089218500164861,0.4098270535469055,1.2922848463058472,352,0.2,0.061328887939453125,144.15,1.0002140493690967
1161,46,10380,12058624,0.0061487528,-0.11663718521595001,-11.634875908493996,0.0013127759693816188,0.0003,-0.0005527626399270957,0.40571528673171997,1.2942551374435425,360,0.2,0.057459354400634766,124.53,0.8803134213760495
1188,47,10367,12320768,0.0060648564,-0.11894752830266953,-11.658783242106438,0.0018928087329186383,0.0003,-0.00047907258431223454,0.3816048502922058,1.3009870052337646,368,0.2,0.060735225677490234,146.33,1.0479471034556627
1215,48,10351,12582912,0.005892176,-0.11410843580961227,-11.672015272080898,0.0017990895385082695,0.0003,-0.0009215207496708899,0.40695083141326904,1.304114818572998,376,0.2,0.0583648681640625,140.26,1.0493075963109733
1243,49,10331,12845056,0.0054490804,-0.1162044033408165,-11.690718092024326,0.0021935962067800574,0.0003,-0.0008327470713993534,0.4835923910140991,1.3095035552978516,384,0.2,0.05562162399291992,125.49,0.9121329325437546
1269,50,10321,13107200,0.005697119,-0.11643775552511215,-11.705362096428871,0.0016070105484686792,0.0003,-0.0006963058467590599,0.39711880683898926,1.3139076232910156,392,0.2,0.054045677185058594,147.02,1.1036315160244703
1296,51,10308,13369344,0.0061815,-0.11821078509092331,-11.736047342419624,0.002466103551341803,0.0003,-0.0006538143838952237,0.32239872217178345,1.322008728981018,400,0.2,0.0647730827331543,135.34,1.0272940647602082
1323,52,10297,13631488,0.005600633,-0.11801882088184357,-11.755721643567085,0.0029458156541295466,0.0003,-0.0005988282528051059,0.3140532374382019,1.3256909847259521,408,0.2,0.05823326110839844,141.61,1.0795511750131845
1351,53,10279,13893632,0.006698026,-0.11907266825437546,-11.770993411540985,0.0026762430661619874,0.0003,-0.0005091908374197374,0.34333258867263794,1.3300548791885376,416,0.2,0.07533454895019531,140.38,0.9870897284895181
1378,54,10271,14155776,0.006889169,-0.11698310077190399,-11.791397787630558,0.0016183878724405076,0.0003,-0.00023914940447866684,0.45971542596817017,1.3364026546478271,424,0.2,0.06755304336547852,136.9,1.0181185523420573
1405,55,10258,14417920,0.0055951737,-0.11994115263223648,-11.808815531432629,0.0016201908083530725,0.0003,-0.0003699653329931607,0.4334600567817688,1.3402819633483887,432,0.2,0.060855865478515625,142.33,1.1200390131771565
1432,56,10251,14680064,0.0062069017,-0.11942736059427261,-11.815813042223454,0.0017701814103929792,0.0003,-0.00053680367909692,0.4271830916404724,1.3423372507095337,440,0.2,0.06882524490356445,151.11,1.1201472364366054
1458,57,10241,14942208,0.0059879534,-0.11893783509731293,-11.827426917850971,0.0017449567512812791,0.0003,-0.0009010282878989528,0.4272468090057373,1.3464454412460327,448,0.2,0.06254339218139648,129.78,1.019272667132318
1485,58,10234,15204352,0.020439584,-0.11773871630430222,-11.834004050806948,0.0020386564520824897,0.0003,0.0010516823845376309,0.402280330657959,1.3479965925216675,450,0.2,0.04682360197368421,137.26,1.0648808991909027
