time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/clip_range,rollout/ep_rew_mean,train/approx_kl
11048,1,23,262144,,,,,,,,,,,,,
10812,2,48,524288,-8.946670532226562,0.010227650363958674,106.0,0.06537532806396484,-0.005093193799439177,1.009729266166687,-9.982085593044758,8,-0.10377208143472672,0.0003,0.2,4.798612117767334,0.006539089
10891,3,72,786432,-0.4235473871231079,0.0010564062440607813,148.0,0.04758167266845703,-0.0031458258908969583,1.0163596868515015,-10.034717358648777,16,-0.10406088829040527,0.0003,0.2,2.5487865060567856,0.005188236
10934,4,95,1048576,-0.5071585178375244,0.0004306026933136309,250.0,0.035906314849853516,-0.0025941159483409137,1.0225292444229126,-10.078314781188965,24,-0.10277513414621353,0.0003,0.2,0.04782838398299646,0.0044154837
11448,5,114,1310720,-2.441628932952881,0.0002529307347458598,250.0,0.021818161010742188,-0.0014079582651902456,1.0310922861099243,-10.130607582628727,32,-0.10392849892377853,0.0003,0.2,0.04782838398299646,0.0037445882
11594,6,135,1572864,-1.4113638401031494,0.0001336255938326758,248.69,0.023922443389892578,-0.001749233372265735,1.0367902517318726,-10.176162220537663,40,-0.10423118621110916,0.0003,0.2,0.052828597212501334,0.0037358124
11468,7,160,1835008,-0.23275375366210938,0.00016197735408240987,248.69,0.044596195220947266,-0.003192765236235573,1.043697714805603,-10.220018841326237,48,-0.10440853983163834,0.0003,0.2,0.05288807006349089,0.00487441
11390,8,184,2097152,-0.07638955116271973,0.00015018471583516657,250.0,0.04242420196533203,-0.003220630563191662,1.0479694604873657,-10.253726847469807,56,-0.10644421726465225,0.0003,0.2,0.06657034492236562,0.0048820693
11511,9,204,2359296,-0.500939130783081,0.00020180610101760976,247.82,0.043000221252441406,-0.0032712174170228536,1.0525267124176025,-10.282267145812511,64,-0.10657435655593872,0.0003,0.2,0.06586758340941742,0.00470504
11352,10,230,2621440,0.09365934133529663,0.0001708180354853539,219.86,0.05963325500488281,-0.0044881727089887136,1.0569766759872437,-10.310999177396297,72,-0.10947508364915848,0.0003,0.2,0.18602337405842262,0.0057486864
11120,11,259,2883584,0.10732036828994751,0.000858851999964827,181.58,0.046895503997802734,-0.002280578193222027,1.0659029483795166,-10.35602243989706,80,-0.10686346143484116,0.0003,0.2,0.4507941314578056,0.0054593924
10958,12,287,3145728,-0.11428201198577881,0.0009183096972265048,250.0,0.03524494171142578,-0.0016401461125497008,1.0764861106872559,-10.421705983579159,88,-0.106756292283535,0.0003,0.2,0.4150495470035821,0.0045950245
10999,13,309,3407872,-0.15418744087219238,0.0004129509729864367,229.95,0.03638315200805664,-0.0023133119102567434,1.082775354385376,-10.474924340844154,96,-0.10641641169786453,0.0003,0.2,0.39280699878698216,0.004640004
10842,14,338,3670016,-0.03975355625152588,0.0003974866713178926,148.95,0.053843021392822266,-0.004006450439646869,1.086318016052246,-10.501306541264057,104,-0.11081822216510773,0.0003,0.2,0.45171439554542303,0.0057234606
10744,15,365,3932160,-0.05389904975891113,0.0011613324918471335,222.95,0.04201841354370117,-0.0019549613593881077,1.09510338306427,-10.542850062251091,112,-0.1081414595246315,0.0003,0.2,0.5457332523912192,0.0048230533
10674,16,392,4194304,0.14479666948318481,0.0011194578889899276,224.61,0.06038236618041992,-0.0024024887698033126,1.1068315505981445,-10.61393041163683,120,-0.1091092973947525,0.0003,0.2,0.5603091854229569,0.0060443426
10620,17,419,4456448,0.0693323016166687,0.0012239663833497616,114.99,0.054952144622802734,-0.001865446306510421,1.118992805480957,-10.687457993626595,128,-0.10827015340328217,0.0003,0.2,0.4363259592652321,0.0060145054
10535,18,447,4718592,-0.050208210945129395,0.002132793117652909,185.22,0.05577230453491211,-0.002546465469094983,1.127377986907959,-10.747578002512455,136,-0.11264772713184357,0.0003,0.2,0.6588163067400455,0.005623537
10506,19,474,4980736,0.2579103708267212,0.002176830278131092,185.71,0.052361488342285156,-0.0014675587735837325,1.1387122869491577,-10.810509912669659,144,-0.10902786254882812,0.0003,0.2,0.7673115602880717,0.0059552584
10513,20,498,5242880,0.12984836101531982,0.002028546969540912,135.24,0.07500839233398438,-0.0021802387677780644,1.1484417915344238,-10.874685488641262,152,-0.11132267117500305,0.0003,0.2,0.5495403622090816,0.0073642978
10476,21,525,5505024,0.20318394899368286,0.0018726345888353535,125.79,0.08062171936035156,-0.0019714804843715683,1.1572283506393433,-10.928793512284756,160,-0.11315908282995224,0.0003,0.2,0.4955435284972191,0.007282838
