time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/std,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
336,11691,3932160,15,-0.10886280238628387,-0.002630446236253192,0.0053554247,0.04395771026611328,112,0.0009156657242783695,0.0003,-10.577227808535099,0.2,1.1006189584732056,-0.019434809684753418,202.67,0.4518764851242304
360,11619,4194304,16,-0.10843919962644577,-0.0017893744493449049,0.0048635313,0.034127235412597656,120,0.0005651672959174903,0.0003,-10.63761132210493,0.2,1.1097244024276733,-0.21554279327392578,229.44,0.5539731965772807
384,11585,4456448,17,-0.1109752282500267,-0.002480564124198281,0.0053843493,0.051038265228271484,128,0.0005467228161251114,0.0003,-10.68489208072424,0.2,1.1164569854736328,0.044857561588287354,125.1,0.37229208946228026
410,11484,4718592,18,-0.11131308972835541,-0.004008760065516981,0.0058845533,0.05395317077636719,136,0.0006011125369695947,0.0003,-10.712979570031166,0.2,1.1203020811080933,-0.019446253776550293,173.49,0.5666481018066406
435,11427,4980736,19,-0.11087058484554291,-0.0025209792902387562,0.005510845,0.046097755432128906,144,0.0009908072415782954,0.0003,-10.767346017062664,0.2,1.130581259727478,0.004394650459289551,206.89,0.730722712278366
460,11378,5242880,20,-0.1113959401845932,-0.003081945184931101,0.0061348276,0.06232166290283203,152,0.000894996127954073,0.0003,-10.822532132267952,0.2,1.1387879848480225,0.14917689561843872,138.85,0.5375264770921785
486,11318,5505024,21,-0.11093669384717941,-0.003286972801106458,0.006436307,0.06742668151855469,160,0.0005848043679179682,0.0003,-10.861904062330723,0.2,1.1445746421813965,0.2801936864852905,121.71,0.4439603058993816
511,11267,5767168,22,-0.11071720719337463,-0.0017756538150024426,0.0052422397,0.049990177154541016,168,0.0018272335532856232,0.0003,-10.904804579913616,0.2,1.1528809070587158,0.08478081226348877,192.39,0.8620517519791611
537,11209,6029312,23,-0.11566624045372009,-0.0031379023239423987,0.0054886015,0.05984687805175781,176,0.0008113367430269136,0.0003,-10.951456315815449,0.2,1.1597423553466797,0.25559180974960327,159.27,0.7945444571971894
563,11170,6291456,24,-0.1132204532623291,-0.003020668737917731,0.0061549167,0.05942487716674805,184,0.0010098035163537133,0.0003,-10.988467775285244,0.2,1.1664646863937378,0.20391178131103516,146.53,0.8123955242952797
589,11118,6553600,25,-0.1135052815079689,-0.002332995100005064,0.005769718,0.06180524826049805,192,0.0012444736939869472,0.0003,-11.03497089445591,0.2,1.1750028133392334,0.28308749198913574,167.63,0.9262397320847958
615,11080,6815744,26,-0.11302920430898666,-0.0012908957801300858,0.0051326626,0.05667591094970703,200,0.0017205944959641783,0.0003,-11.069544464349747,0.2,1.179847002029419,0.20152342319488525,156.17,0.8506990089267492
641,11036,7077888,27,-0.11347867548465729,-0.0017811267175602552,0.0054500117,0.06310558319091797,208,0.001273908253551781,0.0003,-11.09540830552578,0.2,1.184489130973816,0.30907267332077026,157.07,0.9640431940555573
667,10997,7340032,28,-0.11271458119153976,-0.0012087428153790825,0.0056242677,0.06048297882080078,216,0.0019981192126579117,0.0003,-11.126638941466808,0.2,1.1902954578399658,0.25207048654556274,144.57,0.8304818350821733
693,10961,7602176,29,-0.11413111537694931,-0.0020461078520384035,0.0057450505,0.060185909271240234,224,0.0013233369450063037,0.0003,-11.150526121258736,0.2,1.194373369216919,0.3462856411933899,150.7,0.9017566767334938
720,10921,7864320,30,-0.11349909752607346,-0.0011009888839907944,0.0055916216,0.05877685546875,232,0.001832761036894226,0.0003,-11.191390678286552,0.2,1.2033745050430298,0.29390865564346313,151.36,0.9387872806936503
745,10894,8126464,31,-0.1140703484416008,-0.0009717516077216715,0.0061316183,0.0677633285522461,240,0.0026012026482931105,0.0003,-11.248522147536278,0.2,1.2147506475448608,0.3619078993797302,145.94,0.9492769615352153
773,10842,8388608,32,-0.11461862176656723,-0.0005195691087465093,0.006009835,0.06004190444946289,248,0.002509467319214309,0.0003,-11.301767840981483,0.2,1.2233786582946777,0.2735022306442261,136.88,0.8484896891564131
799,10815,8650752,33,-0.11518347263336182,-0.0005872510305380274,0.0050140484,0.053882598876953125,256,0.0016277014128718292,0.0003,-11.346426352858543,0.2,1.2322907447814941,0.32842326164245605,147.51,0.9612923693656922
826,10786,8912896,34,-0.1154344379901886,-0.0008166886091203196,0.005427001,0.06034231185913086,264,0.0017150794838016736,0.0003,-11.382413499057293,0.2,1.2379616498947144,0.35731154680252075,146.22,0.9654821928590536
852,10763,9175040,35,-0.11657547205686569,-0.0013716319704144553,0.00571474,0.059764862060546875,272,0.0018683308217077865,0.0003,-11.409571416676044,0.2,1.243149757385254,0.32973921298980713,137.0,0.918799702823162
878,10739,9437184,36,-0.11597143113613129,-0.0009731134800858854,0.0056710807,0.05507326126098633,280,0.0016187966166398837,0.0003,-11.428186066448689,0.2,1.2466349601745605,0.39208316802978516,143.41,0.9909360751509666
905,10711,9699328,37,-0.11644183099269867,-0.0007413366274704458,0.0061511453,0.06419038772583008,288,0.0017855644427982043,0.0003,-11.44868190586567,0.2,1.2513670921325684,0.35089248418807983,140.52,0.9583944331109524
932,10686,9961472,38,-0.11761172860860825,-0.0013377949740061013,0.0054835044,0.05116558074951172,296,0.00227702572101407,0.0003,-11.469454281032085,0.2,1.256077527999878,0.4049522280693054,140.45,0.9344356661010533
959,10655,10223616,39,-0.11656557768583298,-0.0012167153881819104,0.005587222,0.051625728607177734,304,0.0018564723168310593,0.0003,-11.488506950438023,0.2,1.2598797082901,0.37582606077194214,150.86,1.0306978529319166
986,10634,10485760,40,-0.11688172817230225,-0.0007282375481736381,0.0052028936,0.05523681640625,312,0.0015744654438094585,0.0003,-11.50289349257946,0.2,1.263342261314392,0.34821397066116333,127.04,0.8169787699915468
1013,10608,10747904,41,-0.11679390072822571,-0.0005105987020215252,0.0052624745,0.05869626998901367,320,0.002284373880684143,0.0003,-11.522501841187477,0.2,1.2684237957000732,0.3108208179473877,131.48,0.8860473588109017
1039,10586,11010048,42,-0.11616400629281998,-0.0007507196310143627,0.004898293,0.05002403259277344,328,0.0018179408052674262,0.0003,-11.542775765061378,0.2,1.2732833623886108,0.3770672082901001,140.85,0.9638906215131283
1066,10564,11272192,43,-0.11598462611436844,-0.0006847132694929314,0.0064946585,0.05846881866455078,336,0.0016650883444526698,0.0003,-11.560024850070477,0.2,1.2769575119018555,0.3266800045967102,121.96,0.8125183298438787
1093,10545,11534336,44,-0.11692306399345398,-0.0008598913195783098,0.0065873563,0.06429862976074219,344,0.0026609798824210884,0.0003,-11.592744022607803,0.2,1.2860158681869507,0.3490752577781677,130.39,0.8823039013892412
1120,10526,11796480,45,-0.11758461594581604,-0.0006089218500164861,0.0054571936,0.061328887939453125,352,0.0018391091780358693,0.0003,-11.625271320343018,0.2,1.2922848463058472,0.4098270535469055,144.15,1.0002140493690967
1147,10507,12058624,46,-0.11663718521595001,-0.0005527626399270957,0.0061487528,0.057459354400634766,360,0.0013127759693816188,0.0003,-11.634875908493996,0.2,1.2942551374435425,0.40571528673171997,124.53,0.8803134213760495
1174,10493,12320768,47,-0.11894752830266953,-0.00047907258431223454,0.0060648564,0.060735225677490234,368,0.0018928087329186383,0.0003,-11.658783242106438,0.2,1.3009870052337646,0.3816048502922058,146.33,1.0479471034556627
1201,10474,12582912,48,-0.11410843580961227,-0.0009215207496708899,0.005892176,0.0583648681640625,376,0.0017990895385082695,0.0003,-11.672015272080898,0.2,1.304114818572998,0.40695083141326904,140.26,1.0493075963109733
1227,10460,12845056,49,-0.1162044033408165,-0.0008327470713993534,0.0054490804,0.05562162399291992,384,0.0021935962067800574,0.0003,-11.690718092024326,0.2,1.3095035552978516,0.4835923910140991,125.49,0.9121329325437546
1255,10442,13107200,50,-0.11643775552511215,-0.0006963058467590599,0.005697119,0.054045677185058594,392,0.0016070105484686792,0.0003,-11.705362096428871,0.2,1.3139076232910156,0.39711880683898926,147.02,1.1036315160244703
1281,10429,13369344,51,-0.11821078509092331,-0.0006538143838952237,0.0061815,0.0647730827331543,400,0.002466103551341803,0.0003,-11.736047342419624,0.2,1.322008728981018,0.32239872217178345,135.34,1.0272940647602082
1309,10413,13631488,52,-0.11801882088184357,-0.0005988282528051059,0.005600633,0.05823326110839844,408,0.0029458156541295466,0.0003,-11.755721643567085,0.2,1.3256909847259521,0.3140532374382019,141.61,1.0795511750131845
1335,10401,13893632,53,-0.11907266825437546,-0.0005091908374197374,0.006698026,0.07533454895019531,416,0.0026762430661619874,0.0003,-11.770993411540985,0.2,1.3300548791885376,0.34333258867263794,140.38,0.9870897284895181
1362,10388,14155776,54,-0.11698310077190399,-0.00023914940447866684,0.006889169,0.06755304336547852,424,0.0016183878724405076,0.0003,-11.791397787630558,0.2,1.3364026546478271,0.45971542596817017,136.9,1.0181185523420573
1389,10374,14417920,55,-0.11994115263223648,-0.0003699653329931607,0.0055951737,0.060855865478515625,432,0.0016201908083530725,0.0003,-11.808815531432629,0.2,1.3402819633483887,0.4334600567817688,142.33,1.1200390131771565
1416,10365,14680064,56,-0.11942736059427261,-0.00053680367909692,0.0062069017,0.06882524490356445,440,0.0017701814103929792,0.0003,-11.815813042223454,0.2,1.3423372507095337,0.4271830916404724,151.11,1.1201472364366054
1443,10351,14942208,57,-0.11893783509731293,-0.0009010282878989528,0.0059879534,0.06254339218139648,448,0.0017449567512812791,0.0003,-11.827426917850971,0.2,1.3464454412460327,0.4272468090057373,129.78,1.019272667132318
1469,10348,15204352,58,-0.11773871630430222,0.0010516823845376309,0.020439584,0.04682360197368421,450,0.0020386564520824897,0.0003,-11.834004050806948,0.2,1.3479965925216675,0.402280330657959,137.26,1.0648808991909027
1496,10335,15466496,59,-0.11729930341243744,-0.0005621937852993142,0.0062559796,0.05861091613769531,458,0.001719728841635515,0.0003,-11.854844026267529,0.2,1.3540995121002197,0.3993627429008484,134.69,1.0433810608834029
1523,10321,15728640,60,-0.11978194117546082,-0.00010227356597170001,0.0061370917,0.07458353042602539,466,0.00225717462853936,0.0003,-11.868971034884453,0.2,1.357909917831421,0.37817293405532837,147.57,1.1050597520545125
1550,10310,15990784,61,-0.12015972286462784,-0.000519472209361993,0.0051949057,0.06790781021118164,474,0.001976186063075147,0.0003,-11.880104579031467,0.2,1.3618324995040894,0.4112703800201416,126.38,1.0107708766311407
