time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std
15,1,16915,262144,,,,,,,,,,,,,
32,2,16001,524288,-9.982085593044758,106.0,0.2,0.06537532806396484,0.006539089,-0.10377208143472672,4.0384063720703125,8,0.010227650363958674,-0.005093193799439177,-8.946670532226562,0.0003,1.009729266166687
50,3,15451,786432,-10.033838592469692,106.0,0.2,0.04739713668823242,0.0051623387,-0.1040952205657959,4.0384063720703125,16,0.0009713697677398159,-0.003218860769720777,-0.4616905450820923,0.0003,1.0161093473434448
69,4,15095,1048576,-10.073582164943218,250.0,0.2,0.03413581848144531,0.0043014917,-0.1032118946313858,0.048655209841672334,24,0.00043583247293099703,-0.0024564334712522395,-0.4914844036102295,0.0003,1.0216634273529053
83,5,15624,1310720,-10.127047918736935,245.72,0.2,0.022136688232421875,0.0034969659,-0.10383916646242142,0.048749306133831855,32,0.00024965311251889943,-0.001548143460695428,-2.5110831260681152,0.0003,1.0309864282608032
100,6,15688,1572864,-10.179708242416382,245.72,0.2,0.022697925567626953,0.0037057954,-0.10347755253314972,0.04884556850360241,40,0.00013068455865550277,-0.001614438226170023,-1.6162030696868896,0.0003,1.0380373001098633
117,7,15639,1835008,-10.222736306488514,244.32,0.2,0.03774452209472656,0.0047037546,-0.10520004481077194,0.05987589225464035,48,0.00015097514108219912,-0.002818353162638232,-0.39712607860565186,0.0003,1.0436387062072754
134,8,15611,2097152,-10.252457745373249,250.0,0.2,0.03409767150878906,0.004320396,-0.1056176945567131,0.059378389920166225,56,0.00014551777201177174,-0.0026103237232746324,-0.15919184684753418,0.0003,1.0478304624557495
148,9,15850,2359296,-10.275242380797863,242.24,0.2,0.04171562194824219,0.00463041,-0.10672858357429504,0.05806518539058743,64,0.00013879012868756035,-0.003355631057274877,-0.9238195419311523,0.0003,1.051063060760498
167,10,15673,2621440,-10.301617607474327,222.15,0.2,0.06434059143066406,0.005972713,-0.10831846296787262,0.09515270679927199,72,0.00016695403462563263,-0.004591265289491275,0.05570465326309204,0.0003,1.0554465055465698
