time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/clip_range,train/std,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean
3670016,290,12631,14,0.45592948473989964,0.2,1.0852022171020508,-0.10889667272567749,0.0060317963,-10.493544101715088,0.0003,0.06078672409057617,104,-0.004262729972651869,0.0003649162592864741,0.123080313205719,146.39
3932160,316,12443,15,0.6147395226359368,0.2,1.0946934223175049,-0.10806542634963989,0.004652303,-10.54001521319151,0.0003,0.035768985748291016,112,-0.002184786461839394,0.001054013775956264,-0.11836302280426025,201.31
4194304,340,12324,16,0.49195421516895294,0.2,1.105385422706604,-0.10963408648967743,0.0056170584,-10.609407670795918,0.0003,0.04821157455444336,120,-0.002120035513144103,0.000619985824869218,0.23014497756958008,209.28
4456448,365,12202,17,0.37430495880544185,0.2,1.1134841442108154,-0.11061470955610275,0.005888493,-10.666911818087101,0.0003,0.05876445770263672,128,-0.0033499299688628525,0.00035573096079133393,0.2442498803138733,109.48
4718592,391,12063,18,0.6115289527177811,0.2,1.1207585334777832,-0.11205922067165375,0.005782971,-10.7098124101758,0.0003,0.0505213737487793,136,-0.003232641821341531,0.0009408589658050914,0.09342050552368164,203.27
4980736,416,11949,19,0.7417431900650263,0.2,1.1302821636199951,-0.11001347005367279,0.005749685,-10.767895132303238,0.0003,0.05563068389892578,144,-0.0026476103212189628,0.0009682482245807478,0.12170928716659546,181.73
5242880,442,11850,20,0.5949143481254577,0.2,1.1390310525894165,-0.11135726422071457,0.0067425733,-10.821947403252125,0.0003,0.07067203521728516,152,-0.0029442163577186875,0.0009663405789979151,0.26751720905303955,142.32
5505024,469,11736,21,0.5878983741998672,0.2,1.1445238590240479,-0.11069132387638092,0.006428415,-10.86271347105503,0.0003,0.07187843322753906,160,-0.0036460521246226563,0.0006502286182694661,0.3478371500968933,148.95
5767168,495,11646,22,0.8667106176912784,0.2,1.1505154371261597,-0.11131347715854645,0.005956563,-10.896971493959427,0.0003,0.05891895294189453,168,-0.0027437848807494447,0.0011071685621573124,0.20419633388519287,192.49
6029312,521,11560,23,0.8835239060223102,0.2,1.1594388484954834,-0.11225324124097824,0.005387695,-10.943995378911495,0.0003,0.05433177947998047,176,-0.00204118282545096,0.0015121420947252773,0.2072046995162964,176.08
6291456,547,11492,24,0.7837297531962395,0.2,1.1686487197875977,-0.11152942478656769,0.00579665,-10.99781358242035,0.0003,0.05942058563232422,184,-0.0020378393733153644,0.0015248762620103662,0.2587502598762512,148.78
6553600,574,11415,25,0.9551419322192669,0.2,1.1736903190612793,-0.11247428506612778,0.0061785467,-11.034757539629936,0.0003,0.0679931640625,192,-0.0023407317635246727,0.0012892646786895057,0.4206690192222595,172.36
6815744,599,11359,26,0.8009293773025274,0.2,1.17958402633667,-0.11350977420806885,0.0057185506,-11.067938141524792,0.0003,0.058472633361816406,200,-0.0017267270586671657,0.00123677430110547,0.3554650545120239,140.32
7077888,626,11298,27,0.8852915695309639,0.2,1.1837208271026611,-0.11337438970804214,0.00531872,-11.095124445855618,0.0003,0.06164216995239258,208,-0.0015426588074660685,0.001491401576458884,0.354996919631958,156.85
7340032,652,11246,28,0.9520317988071474,0.2,1.189063310623169,-0.11264611780643463,0.0056157243,-11.12063729763031,0.0003,0.06009626388549805,216,-0.001572333042986429,0.001554549307002162,0.47150957584381104,141.74
7602176,679,11191,29,1.0415949989855289,0.2,1.1937437057495117,-0.11481861025094986,0.005559736,-11.147192925214767,0.0003,0.05918693542480469,224,-0.0012495286891862634,0.0015067320400703466,0.4353365898132324,169.38
7864320,705,11139,30,1.0013766658998793,0.2,1.1983163356781006,-0.1129423975944519,0.0052184574,-11.17193803191185,0.0003,0.054610252380371094,232,-0.0012130955442444247,0.0018852095272450242,0.34312939643859863,165.44
8126464,732,11090,31,0.8923217135667801,0.2,1.2013784646987915,-0.11345116794109344,0.0052376254,-11.191035710275173,0.0003,0.05686759948730469,240,-0.0012928746623401821,0.001391324536598404,0.43195611238479614,136.7
8388608,759,11045,32,0.9574646287411451,0.2,1.2055649757385254,-0.11154048889875412,0.0056090667,-11.208708800375462,0.0003,0.056394100189208984,248,-0.0012154244582234242,0.0015919761308396119,0.3773902654647827,149.87
8650752,785,11007,33,0.9100801639258862,0.2,1.2120306491851807,-0.11248248815536499,0.006035285,-11.243878923356533,0.0003,0.05168724060058594,256,-0.0008545063283236232,0.0020808946510442183,0.4705992341041565,138.07
8912896,812,10963,34,1.0627016296982765,0.2,1.218683123588562,-0.11482341587543488,0.005825581,-11.27689716219902,0.0003,0.054926395416259766,264,-0.0007022063350632379,0.0018027845471806359,0.5868216753005981,156.91
9175040,839,10930,35,1.0187973621487618,0.2,1.2229145765304565,-0.11490941792726517,0.005797217,-11.303171716630459,0.0003,0.06066608428955078,272,-0.0007184601154222037,0.0021323631808627397,0.3219296336174011,154.42
9437184,866,10891,36,0.989606354162097,0.2,1.2281063795089722,-0.1155817061662674,0.0057620797,-11.328538328409195,0.0003,0.05645895004272461,280,-0.0010525235047680326,0.0018841933597286697,0.3738568425178528,144.69
9699328,893,10857,37,1.0475847148895263,0.2,1.2313649654388428,-0.11653923243284225,0.0053770463,-11.346151106059551,0.0003,0.05693626403808594,288,-0.0010574505267868517,0.0021045142002549255,0.5341532528400421,149.17
9961472,920,10822,38,1.1455650973320006,0.2,1.2366983890533447,-0.11382589489221573,0.006031188,-11.370257921516895,0.0003,0.0648503303527832,296,-0.0004044373949909641,0.0019895000750693725,0.5247246325016022,160.52
10223616,947,10790,39,1.1848531760275365,0.2,1.2407209873199463,-0.11543594300746918,0.0059475135,-11.393008790910244,0.0003,0.06363487243652344,304,-0.0008493780346725543,0.0016233304449997377,0.43403124809265137,169.56
10485760,974,10759,40,1.1624887518584728,0.2,1.2473238706588745,-0.11467906832695007,0.0057469043,-11.420587047934532,0.0003,0.06200265884399414,312,-0.0006158689016046992,0.0020179439216008177,0.5189513564109802,163.51
10747904,1001,10732,41,1.2523737405949213,0.2,1.2524200677871704,-0.11569125205278397,0.0060164575,-11.447739973664284,0.0003,0.06713247299194336,320,-0.0009361456034184812,0.002099148317029176,0.45574599504470825,177.04
11010048,1028,10709,42,1.1558728539943695,0.2,1.2543697357177734,-0.11764240264892578,0.006267326,-11.45872188359499,0.0003,0.06409835815429688,328,-0.0013832442427883507,0.0012520384234449011,0.458818256855011,161.91
11272192,1055,10682,43,1.175006184130907,0.2,1.2591187953948975,-0.11706531047821045,0.005765141,-11.473667085170746,0.0003,0.06570291519165039,336,-0.0006201477958711621,0.0018208629398941412,0.46558868885040283,158.72
11534336,1081,10662,44,1.1926221104711294,0.2,1.2650673389434814,-0.11580691486597061,0.0065668337,-11.499608181416988,0.0003,0.07028675079345703,344,-0.0006227794674487086,0.0021359613274398725,0.4639163613319397,160.53
11796480,1109,10636,45,1.0952168620377778,0.2,1.2684372663497925,-0.11621156334877014,0.0065308465,-11.517633616924286,0.0003,0.0630793571472168,352,-0.0005980615519547428,0.0019048541062147706,0.5486286878585815,150.06
12058624,1136,10612,46,0.9708479201048612,0.2,1.273630142211914,-0.11539870500564575,0.0060407254,-11.538049340248108,0.0003,0.05864143371582031,360,-0.0007657532305529458,0.00206523372708034,0.3933800458908081,131.23
12320768,1163,10589,47,0.927591934427619,0.2,1.278581976890564,-0.117296501994133,0.0049777925,-11.557970456779003,0.0003,0.05908679962158203,368,-0.0006021313679411833,0.0021522243896470172,0.4349268674850464,129.01
12582912,1190,10567,48,0.9457058704644442,0.2,1.2838983535766602,-0.11879715323448181,0.0052121864,-11.581680223345757,0.0003,0.06150674819946289,376,-0.0006458821080741473,0.002029844678872905,0.34711289405822754,133.49
12845056,1218,10544,49,1.0111501508206129,0.2,1.2893097400665283,-0.11613263189792633,0.005222948,-11.60581874102354,0.0003,0.05552387237548828,384,-0.0006926984124220326,0.002025642768785474,0.3767380118370056,138.35
13107200,1245,10523,50,1.0449971716105937,0.2,1.2958698272705078,-0.1184927374124527,0.0058308346,-11.630883120000362,0.0003,0.06044197082519531,392,-0.0006682738626295759,0.0021298841147654457,0.44635432958602905,143.6
13369344,1272,10503,51,0.9576740812510252,0.2,1.3025444746017456,-0.117179736495018,0.0057254275,-11.659982934594154,0.0003,0.06219625473022461,400,-0.00036217177694197744,0.002300773798197042,0.4841787815093994,127.92
13631488,1300,10481,52,1.016643344014883,0.2,1.308079481124878,-0.11657709628343582,0.006582236,-11.686413444578648,0.0003,0.06285333633422852,408,-0.0005057540529378457,0.002299087342180428,0.5891387760639191,136.78
13893632,1326,10472,53,1.0696308875083924,0.2,1.3110156059265137,-0.11860161274671555,0.017973758,-11.699188194274903,0.0003,0.0562109375,410,-0.0005809613945893943,0.0025027094222605227,0.7024877965450287,141.64
