time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/std,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
6815744,11157,610,26,0.006111226,1.1857327222824097,-0.11410635709762573,0.2,-0.001918840403050126,200,0.0020766103189089336,-11.104298688471317,0.0003,0.21861320734024048,0.06189155578613281,0.9945111408084631,174.31
7077888,11119,636,27,0.0071148816,1.1955868005752563,-0.11324039846658707,0.2,-0.0009747158483150997,208,0.003274678896559635,-11.150023832917213,0.0003,0.26101142168045044,0.07165718078613281,0.9889116166532039,161.53
7340032,11073,662,28,0.0059029064,1.2051713466644287,-0.11238059401512146,0.2,-0.0012781278792317607,216,0.003413831702346215,-11.207003556191921,0.0003,0.3581022024154663,0.05947399139404297,1.129186179637909,164.17
7602176,11037,688,29,0.006459091,1.21451997756958,-0.11382073163986206,0.2,-0.001052642628110334,224,0.003251218586228788,-11.259940333664417,0.0003,0.4567640423774719,0.06816768646240234,0.9136269786953926,146.42
7864320,10992,715,30,0.0058096666,1.2237696647644043,-0.11465588957071304,0.2,-0.0011365954942448298,232,0.003149815613141982,-11.310172215104103,0.0003,0.4731508493423462,0.05720806121826172,0.8989276207238436,147.96
8126464,10957,741,31,0.0056755533,1.2311761379241943,-0.11440198123455048,0.2,-0.0008444773939118022,240,0.0033238017658732133,-11.354126214981079,0.0003,0.3575068712234497,0.06068849563598633,1.0312944246083497,149.48
8388608,10924,767,32,0.0056542433,1.2413885593414307,-0.11609245836734772,0.2,-0.0009485705436418357,248,0.004122447107874905,-11.403015829622746,0.0003,0.5936642289161682,0.0597529411315918,0.9323277274519205,150.28
8650752,10890,794,33,0.0055257957,1.2506455183029175,-0.11668191105127335,0.2,-0.001525846867934888,256,0.0023963616986293346,-11.454114831984043,0.0003,0.3372676372528076,0.06349658966064453,0.8989561496675015,143.93
8912896,10863,820,34,0.0057704384,1.2594438791275024,-0.11541624367237091,0.2,-0.0009172556497105688,264,0.0035678691119755968,-11.502064071595669,0.0003,0.3681223392486572,0.05972433090209961,0.8907073619961738,132.37
9175040,10828,847,35,0.0057386886,1.2701940536499023,-0.11776747554540634,0.2,-0.0009890787318909133,272,0.003831661617368809,-11.558917000889778,0.0003,0.4497107267379761,0.059398651123046875,0.9333304315060377,141.84
9437184,10804,873,36,0.005203507,1.2758352756500244,-0.11555220931768417,0.2,-0.0009792692940209236,280,0.003567417963495245,-11.595528528094292,0.0003,0.4138790965080261,0.0549015998840332,0.884073421806097,125.0
9699328,10772,900,37,0.0051585473,1.2825227975845337,-0.11786223202943802,0.2,-0.0006743034377905133,288,0.0027044552598454175,-11.629272989928722,0.0003,0.36952757835388184,0.0553746223449707,0.9339010705426335,148.94
9961472,10746,926,38,0.0056021716,1.2892756462097168,-0.11755811423063278,0.2,-0.0009972463185476954,296,0.0032658329346304527,-11.66256808489561,0.0003,0.46998465061187744,0.05267810821533203,1.0547311206161976,163.45
10223616,10717,953,39,0.0060693603,1.30056631565094,-0.1185975894331932,0.2,-0.00034720374424068723,304,0.004409815703183995,-11.710921384394169,0.0003,0.48424673080444336,0.07225275039672852,1.050140572860837,153.86
10485760,10696,980,40,0.0056703994,1.3121713399887085,-0.11884423345327377,0.2,-0.0006388055558090855,312,0.00324988690954342,-11.768973745405674,0.0003,0.3775327205657959,0.0600733757019043,1.0434751147776842,152.63
10747904,10675,1006,41,0.007498917,1.3238133192062378,-0.11922360956668854,0.2,-0.000681164296111092,320,0.005719367934943875,-11.826984994113445,0.0003,0.5913629829883575,0.07213830947875977,1.0505028830468655,144.55
11010048,10653,1033,42,0.0056481445,1.3409749269485474,-0.12110652029514313,0.2,-0.0017749000626281486,328,0.0046131942835927475,-11.898505732417107,0.0003,0.7549182325601578,0.049271583557128906,0.901978697180748,130.01
11272192,10636,1059,43,0.006122995,1.3514323234558105,-0.12178228795528412,0.2,-0.001017079961457057,336,0.006449621176216169,-11.963433340191841,0.0003,0.4053288698196411,0.057672977447509766,0.789587521776557,126.63
11534336,10613,1086,44,0.0074276095,1.3575996160507202,-0.11942459642887115,0.2,-0.0011029933816644188,344,0.003511597533361055,-12.002981282770634,0.0003,0.7002274692058563,0.06170511245727539,0.9166481161862612,127.42
11796480,10594,1113,45,0.006581212,1.3666213750839233,-0.1230357214808464,0.2,-0.000777490285145177,352,0.0034188895569968736,-12.041673086583614,0.0003,0.3903900980949402,0.06198740005493164,0.9314274325966835,134.2
12058624,10572,1140,46,0.00560051,1.3777650594711304,-0.12383604794740677,0.2,-0.0006873190768601489,360,0.0040510354883736,-12.08893647044897,0.0003,0.5936521291732788,0.06814384460449219,1.0304432269185781,128.02
12320768,10554,1167,47,0.0058930456,1.3859971761703491,-0.12272746860980988,0.2,-0.0005880866174265975,368,0.0041073429838434095,-12.13050027936697,0.0003,0.5165510773658752,0.06035280227661133,0.886057054772973,128.06
