rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range
34.0,19212,-0.000977672403678298,524288,1,27,,,,,,,,,,,
34.0,18151,-0.000977672403678298,1048576,2,57,0.06804132461547852,-0.10424124449491501,-8.950557708740234,1.0092530250549316,8,0.0003,-0.004935790035233367,0.0064728605,0.008564411478801048,-9.985591795295477,0.2
34.0,17219,-0.000977672403678298,1572864,3,91,0.05339837074279785,-0.10472453385591507,-0.3455085754394531,1.015038013458252,16,0.0003,-0.0039078513550521166,0.005406475,0.0005558930973847964,-10.03257368132472,0.2
250.0,16741,0.045805824770177424,2097152,4,125,0.03927159309387207,-0.1037432998418808,-0.22325372695922852,1.020306944847107,24,0.0003,-0.002897016355291271,0.0046713846,0.0003021242151817205,-10.068948172032833,0.2
247.85,17244,0.04711189138044574,2621440,5,152,0.023700475692749023,-0.10198578238487244,-2.031550884246826,1.0303207635879517,32,0.0003,-0.0010820524896644201,0.0035951505,0.00015227134909423512,-10.12844229862094,0.2
246.56,17159,0.05030145671142236,3145728,6,183,0.0317230224609375,-0.1035052165389061,-0.651840090751648,1.0352540016174316,40,0.0003,-0.0023838711631469778,0.0042521777,7.734206317877579e-05,-10.170744769275188,0.2
244.9,17056,0.05993607866501407,3670016,7,215,0.04728245735168457,-0.1028205156326294,0.037857770919799805,1.043472170829773,48,0.0003,-0.0020960244874004275,0.005048329,0.0004327543346107632,-10.218862503767014,0.2
250.0,17016,0.0947945176702342,4194304,8,246,0.0530400276184082,-0.10647951811552048,0.07053446769714355,1.0522661209106445,56,0.0003,-0.002240246779365407,0.005321683,0.0007135623033605043,-10.275214150547981,0.2
239.87,17295,0.09231569767027395,4718592,9,272,0.050479888916015625,-0.1066533699631691,0.02426248788833618,1.056668758392334,64,0.0003,-0.0037797726283770317,0.0052077835,0.00012541356107931279,-10.313828136771917,0.2
214.97,17128,0.1709574183486984,5242880,10,306,0.07888579368591309,-0.10999549180269241,0.3693840503692627,1.0589507818222046,72,0.0003,-0.005661803910697927,0.006777031,0.00012362217466943548,-10.331291764974594,0.2
174.21,16829,0.8119939770986093,5767168,11,342,0.07051515579223633,-0.10643172264099121,0.17191684246063232,1.0709974765777588,80,0.0003,-0.002140009643653684,0.006830507,0.0017360491134468248,-10.392356425523758,0.2
250.0,16644,0.27219000133569354,6291456,12,377,0.06531643867492676,-0.10607847571372986,0.08702892065048218,1.0832306146621704,88,0.0003,-0.0015250126928094687,0.0065312143,0.0016230751438115476,-10.472036600112915,0.2
211.48,16745,0.42943353732232936,6815744,13,407,0.06521797180175781,-0.10996834188699722,0.03737407922744751,1.0929195880889893,96,0.0003,-0.0025328755400551017,0.006183413,0.0005529875535330575,-10.539975810796022,0.2
148.71,16459,0.5241463123261929,7340032,14,445,0.08278298377990723,-0.10916213691234589,0.09485483169555664,1.1030954122543335,104,0.0003,-0.002686439369654181,0.0073223496,0.0018468510653519843,-10.605568997561932,0.2
207.43,16230,0.7009896142035723,7864320,15,484,0.066253662109375,-0.10865194350481033,0.010142982006072998,1.1184676885604858,112,0.0003,-0.0012465784591313422,0.006632222,0.00619385022764618,-10.690127041190863,0.2
153.84,16108,0.47555848136544226,8388608,16,520,0.06383323669433594,-0.10793544352054596,0.055946946144104004,1.1332004070281982,120,0.0003,-0.0013185451182380348,0.0066606365,0.00345921962571083,-10.789120722562075,0.2
107.13,16016,0.42089895308017733,8912896,17,556,0.0816032886505127,-0.11039209365844727,0.2343234419822693,1.1427620649337769,128,0.0003,-0.0028992508964620356,0.0070984717,0.0013256236420602363,-10.854297999292612,0.2
181.02,15863,0.7219308893382549,9437184,18,594,0.07739686965942383,-0.11035674810409546,0.0801439881324768,1.155564546585083,136,0.0003,-0.0016840357670844242,0.006712916,0.004720189066119929,-10.924370389431715,0.2
156.06,15735,0.8709752537414898,9961472,19,633,0.07602286338806152,-0.11093230545520782,0.14804208278656006,1.1752088069915771,144,0.0003,-0.0009485420728196914,0.007862918,0.009018384123010037,-11.028588071465492,0.2
152.95,15646,0.8192817793041468,10485760,20,670,0.0789637565612793,-0.11187563091516495,0.19882583618164062,1.1914812326431274,152,0.0003,-0.0013569598716003384,0.0072597004,0.006233058555153548,-11.133285325020552,0.2
145.88,15532,0.9032538865506649,11010048,21,708,0.0748438835144043,-0.11397027224302292,0.25616204738616943,1.2077522277832031,160,0.0003,-0.0011264369627497217,0.006658906,0.0061263446923476295,-11.230035364627838,0.2
183.53,15439,1.1059508246183396,11534336,22,747,0.0695958137512207,-0.11229819059371948,0.25262516736984253,1.225585699081421,168,0.0003,-0.0006513115251891577,0.006152585,0.010342082268834929,-11.32579244300723,0.2
152.08,15351,0.8280938535183668,12058624,23,785,0.07020854949951172,-0.11518051475286484,0.2635039687156677,1.242116928100586,176,0.0003,-0.0008407495845403901,0.0063384455,0.008569622927097953,-11.424846969544888,0.2
136.42,15277,0.7074609976261854,12582912,24,823,0.07051849365234375,-0.11652019619941711,0.2569235563278198,1.2572523355484009,184,0.0003,-0.0007210355513507238,0.0064268955,0.008872624190189526,-11.509308498352766,0.2
180.95,15199,0.9735842645913363,13107200,25,862,0.06850457191467285,-0.11706985533237457,0.2970426678657532,1.2709249258041382,192,0.0003,-0.0008704388503701921,0.00618014,0.0074969772267650114,-11.586497262120247,0.2
165.3,15132,1.0120868979394435,13631488,26,900,0.06384611129760742,-0.11504586040973663,0.3548784852027893,1.2856743335723877,200,0.0003,-0.0004566444176816731,0.0062676286,0.009011080055643106,-11.665646776556969,0.2
173.75,15069,0.9671799910068511,14155776,27,939,0.0668642520904541,-0.11725359410047531,0.3440375328063965,1.297844409942627,208,0.0003,-0.0005806266337913257,0.0060457317,0.007163401767684263,-11.730507522821426,0.2
174.92,15012,1.0301601058989762,14680064,28,977,0.07825183868408203,-0.11983835697174072,0.3564888834953308,1.3177049160003662,216,0.0003,-0.0006533290217021204,0.0072565274,0.014017574427271029,-11.82491660118103,0.2
182.58,14957,1.0647427505999802,15204352,29,1016,0.0635833740234375,-0.11896549165248871,0.31128156185150146,1.3357622623443604,224,0.0003,-0.00034947049311995215,0.0054735257,0.01014802801728365,-11.924049627035856,0.2
173.62,14905,1.1438332345336675,15728640,30,1055,0.07569599151611328,-0.12017202377319336,0.5045046508312225,1.3529952764511108,232,0.0003,-0.00038763867178204237,0.0065837214,0.015407600401886157,-12.00984999164939,0.2
159.5,14858,1.0261871434748173,16252928,31,1093,0.07494592666625977,-0.12160327285528183,0.33046048879623413,1.3698123693466187,240,0.0003,-0.00036870644726150203,0.006538548,0.015170352311542956,-12.096903707832098,0.2
137.59,14815,0.8064615842700005,16777216,32,1132,0.07962274551391602,-0.12226038426160812,0.4996514916419983,1.389624834060669,248,0.0003,-0.000538591567419644,0.007083009,0.017016003890603315,-12.190028570592403,0.2
145.17,14771,0.9285985732823611,17301504,33,1171,0.07850933074951172,-0.12231440097093582,0.6800785660743713,1.413922667503357,256,0.0003,-0.00017395246391060937,0.0068268473,0.015923535416732193,-12.302289467304945,0.2
