time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
4718592,11246,18,419,-0.00522314163390547,-0.11270629614591599,0.2,0.00658303,1.1098989248275757,136,0.06850719451904297,0.0003,0.2188948392868042,0.00042456582491468,-10.649508371949196,148.87,0.42019522815942767
4980736,11189,19,445,-0.0029648562713191495,-0.1116572842001915,0.2,0.0055415304,1.1176731586456299,144,0.0443873405456543,0.0003,-0.14113879203796387,0.0008476007865283464,-10.688385918736458,207.53,0.7102616405487061
5242880,11172,20,469,-0.002509734440536704,-0.11027275770902634,0.2,0.005637762,1.124935507774353,152,0.047867774963378906,0.0003,0.09484654664993286,0.0005624271016131388,-10.738965317606926,180.38,0.5224758469266817
5505024,11136,21,494,-0.002950898443486949,-0.11098405718803406,0.2,0.0056233304,1.130807876586914,160,0.058411598205566406,0.0003,0.26996344327926636,0.0005179899358154216,-10.776794083416462,110.76,0.34446704797446726
5767168,11089,22,520,-0.0029405980776573415,-0.11080607771873474,0.2,0.0054963497,1.1382049322128296,168,0.055620670318603516,0.0003,0.0868120789527893,0.0011076008627242118,-10.817251935601234,199.76,0.7554055170714855
6029312,11044,23,545,-0.0027341098953002074,-0.11211773753166199,0.2,0.0058015687,1.1457499265670776,176,0.05358695983886719,0.0003,0.2244279384613037,0.0009247146635971148,-10.863834671676159,171.72,0.7391173368692399
6291456,11014,24,571,-0.0033927820722965407,-0.11231393367052078,0.2,0.006039379,1.1519482135772705,184,0.06300067901611328,0.0003,0.35413897037506104,0.0007188013337326993,-10.90242899209261,143.36,0.6633406183868646
6553600,10975,25,597,-0.003305977248601266,-0.11454302817583084,0.2,0.009912174,1.1596970558166504,192,0.06693172454833984,0.0003,0.31498461961746216,0.0011303476576358662,-10.947348110377789,145.18,0.6866664323210716
6815744,10930,26,623,-0.002059550773083174,-0.11256138235330582,0.2,0.0057583502,1.1657888889312744,200,0.059981346130371094,0.0003,0.1621931791305542,0.0015901424549156218,-10.985704578459263,179.89,0.9583159498870373
7077888,10896,27,649,-0.002151784628040332,-0.113716721534729,0.2,0.0054827775,1.1717802286148071,208,0.057442665100097656,0.0003,0.25987374782562256,0.0013050394318270264,-11.020533204078674,161.77,0.9017830783873797
7340032,10863,28,675,-0.002011696431964083,-0.11178743839263916,0.2,0.005713175,1.176159381866455,216,0.055438995361328125,0.0003,0.2857544422149658,0.001403992836458201,-11.046377263963223,149.57,0.8322289917618036
7602176,10831,29,701,-0.002150278291082941,-0.11392789334058762,0.2,0.005820338,1.180285096168518,224,0.06441974639892578,0.0003,0.36745452880859375,0.0011211636638108757,-11.069901429116726,173.09,1.0384696298837661
7864320,10797,30,728,-0.0013555124314734712,-0.11201299726963043,0.2,0.005639072,1.185306191444397,232,0.05516529083251953,0.0003,0.2707529664039612,0.0014243646674003685,-11.096276238560677,156.74,0.9410845999419689
8126464,10774,31,754,-0.0016768303266871953,-0.11349216103553772,0.2,0.0069574555,1.1895675659179688,240,0.06294488906860352,0.0003,0.28411245346069336,0.0015620329268131172,-11.120893366634846,174.95,1.1418360359966755
8388608,10750,32,780,-0.0015396208768834185,-0.11290235817432404,0.2,0.0054947305,1.1927144527435303,248,0.0602569580078125,0.0003,0.34342724084854126,0.0013189959549890773,-11.135121963918209,131.6,0.7953381884843111
8650752,10720,33,806,-0.0012989296524210658,-0.11110841482877731,0.2,0.0056537,1.1940348148345947,256,0.06278514862060547,0.0003,0.3515346050262451,0.0013666104641743004,-11.14368835836649,138.39,0.8702708043903112
8912896,10697,34,833,-0.0012515372491179733,-0.1138201653957367,0.2,0.006254088,1.1981654167175293,264,0.05767345428466797,0.0003,0.3084014654159546,0.0016068453860498266,-11.160883955657482,145.47,0.9463938097655773
9175040,10669,35,859,-0.001091746137035443,-0.11439253389835358,0.2,0.0057842396,1.2042171955108643,272,0.06065559387207031,0.0003,0.2735198736190796,0.0020693563765235012,-11.190445885062218,146.94,0.9073397882282734
9437184,10649,36,886,-0.001241415147887892,-0.11225898563861847,0.2,0.0053526415,1.2076659202575684,280,0.059339046478271484,0.0003,0.2679706811904907,0.002222615403297823,-11.212636277079582,144.36,0.9712301021814347
9699328,10625,37,912,-0.0011689298571582185,-0.11424408853054047,0.2,0.005622916,1.2092969417572021,288,0.05619668960571289,0.0003,0.3582282066345215,0.001410645381838549,-11.220472313463688,146.91,0.9531076538562775
9961472,10608,38,939,-0.0013544915120746737,-0.11336132884025574,0.2,0.0063482476,1.213919997215271,296,0.05990028381347656,0.0003,0.3589124083518982,0.0013349967402973562,-11.240720950067043,119.11,0.7967456461366964
10223616,10585,39,965,-0.0010518226868043712,-0.1148456260561943,0.2,0.005255172,1.219743251800537,304,0.0571751594543457,0.0003,0.3266451954841614,0.0017608025491426815,-11.269361063838005,138.96,0.930064698383212
