time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/policy_gradient_loss
15380,221,3407872,13,96,0.2,0.04553556442260742,1.0841810703277588,0.00045770699921376945,0.38246264331479324,241.71,-0.08649539947509766,-0.10907340794801712,0.0003,0.005193416,-10.48284661769867,-0.002615689655613096
15178,241,3670016,14,104,0.2,0.06675004959106445,1.087590217590332,0.00041605818739753886,0.45307627379894255,146.04,0.019541501998901367,-0.10982174426317215,0.0003,0.0062163207,-10.510069534182549,-0.0041023704388862825
15015,261,3932160,15,112,0.2,0.04655027389526367,1.094639778137207,0.0013782215878563875,0.6549913819879294,206.88,0.0008981227874755859,-0.1079668253660202,0.0003,0.0052595185,-10.542341753840446,-0.0025688544751574227
14949,280,4194304,16,120,0.2,0.04379463195800781,1.1035099029541016,0.0008012965340640221,0.6055480468424502,222.32,0.015408039093017578,-0.10920645296573639,0.0003,0.0053393077,-10.597869962453842,-0.0020583979330695
14896,299,4456448,17,128,0.2,0.07330083847045898,1.114150047302246,0.0006345779722778389,0.5303046827018261,116.59,0.18629038333892822,-0.10980895161628723,0.0003,0.006725284,-10.665147513151169,-0.003106127926002955
14777,319,4718592,18,136,0.2,0.0552515983581543,1.1198662519454956,0.0015768303705954168,0.7593465393781662,193.89,0.06756645441055298,-0.11054839193820953,0.0003,0.0057153893,-10.705500990152359,-0.002825914702953014
14683,339,4980736,19,144,0.2,0.05347919464111328,1.1283154487609863,0.001427591418632801,0.8824550494551658,194.91,0.13402867317199707,-0.11161056160926819,0.0003,0.0057044625,-10.754024893045425,-0.0026423063700349303
14621,358,5242880,20,152,0.2,0.06710433959960938,1.1377452611923218,0.0012839743526456004,0.5300171525776386,133.35,0.17252761125564575,-0.1110311821103096,0.0003,0.0069816518,-10.809877946972847,-0.0026507708926146734
14531,378,5505024,21,160,0.2,0.07939434051513672,1.145137071609497,0.0010892242221416382,0.7397638431191444,149.99,0.3166532516479492,-0.11236858367919922,0.0003,0.006497938,-10.859498366713524,-0.0027760743114413344
14459,398,5767168,22,168,0.2,0.059960365295410156,1.153502106666565,0.0021644122407451505,0.9611891894042492,181.38,0.15484964847564697,-0.11130309849977493,0.0003,0.0049255956,-10.907015018165112,-0.0014391851641448739
14389,419,6029312,23,176,0.2,0.06046724319458008,1.161415457725525,0.0016649956587571069,0.7605108429491519,143.13,0.2635630965232849,-0.11162925511598587,0.0003,0.0057116654,-10.954023100435734,-0.001862425554463698
14330,439,6291456,24,184,0.2,0.06455469131469727,1.1707322597503662,0.0023265856943908148,0.9299765814095735,149.4,0.30477869510650635,-0.11243748664855957,0.0003,0.005720991,-11.003259144723415,-0.0013842885491612833
14262,459,6553600,25,192,0.2,0.06023359298706055,1.178648591041565,0.002023421380727086,0.8960721838474274,162.14,0.38486427068710327,-0.11257146298885345,0.0003,0.0059981747,-11.054904982447624,-0.0016241107227870089
14199,479,6815744,26,200,0.2,0.06863260269165039,1.1869207620620728,0.0028522447883005952,1.0476958030462264,168.43,0.28907501697540283,-0.11201932281255722,0.0003,0.00670074,-11.101628623902798,-0.0014586796855837747
