time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
60,1501,10473,15728640,0.0019351586070115445,0.0648341178894043,1.4279873371124268,-12.2579934746027,472,0.005061052,-0.12418360263109207,0.39122098684310913,-0.0007047160470392555,0.0003,0.2,122.37,0.8772027488052845
61,1528,10460,15990784,0.0020872800050710794,0.06592082977294922,1.4345711469650269,-12.281005047261715,480,0.007909497,-0.12514325976371765,0.3799954056739807,-0.0004674358369811671,0.0003,0.2,147.85,1.0879759876430035
62,1555,10449,16252928,0.002055220376860234,0.061353206634521484,1.4414441585540771,-12.30446458607912,488,0.0056181448,-0.12521134316921234,0.39232367277145386,-0.0006467603561759461,0.0003,0.2,132.67,1.0001446663960813
63,1582,10436,16515072,0.0019265250657554134,0.06678247451782227,1.4477620124816895,-12.328316003084183,496,0.0065958463,-0.1253134310245514,0.39945173263549805,-0.0007093925009939994,0.0003,0.2,140.07,1.0401371532678605
64,1609,10426,16777216,0.002517788602744986,0.06653070449829102,1.4547476768493652,-12.352911345660686,504,0.006254914,-0.1262517124414444,0.44253700971603394,-0.0007144492581119266,0.0003,0.2,138.82,1.0607041776925326
65,1636,10413,17039360,0.0019218662582716206,0.06371879577636719,1.4624066352844238,-12.379993736743927,512,0.005428642,-0.12484923005104065,0.40787404775619507,-0.0005897736155020539,0.0003,0.2,130.05,1.021188154220581
66,1662,10404,17301504,0.002805295966027188,0.06329011917114258,1.4684110879898071,-12.402464970946312,520,0.0058482615,-0.1246894896030426,0.39447373151779175,-0.0006953136980882846,0.0003,0.2,131.19,0.9908149380236864
67,1689,10393,17563648,0.0029989243175805314,0.07114934921264648,1.473658800125122,-12.419347822666168,528,0.0057177255,-0.12580902874469757,0.33324283361434937,-0.0006811173930145742,0.0003,0.2,133.98,1.046679036989808
68,1716,10383,17825792,0.0016831317570904503,0.06680822372436523,1.4774540662765503,-12.432167544960976,536,0.0067225173,-0.12357527017593384,0.4679902195930481,-0.0005264022429400939,0.0003,0.2,147.5,1.166381361335516
69,1743,10374,18087936,0.0021720917175116483,0.07699155807495117,1.4804733991622925,-12.437059707939625,544,0.008346209,-0.12415918707847595,0.3955491781234741,9.655114536144538e-05,0.0003,0.2,139.01,1.0763984870165586
70,1770,10364,18350080,0.0023592491224917467,0.07507514953613281,1.487777829170227,-12.456846751272678,552,0.0064234342,-0.12597768008708954,0.3816182017326355,-0.00023404343255606364,0.0003,0.2,159.62,1.2454499474540353
71,1797,10355,18612224,0.002086005414639658,0.06587696075439453,1.4918529987335205,-12.469811782240868,560,0.0061551007,-0.12594620883464813,0.41764622926712036,-0.000572959319470101,0.0003,0.2,144.36,1.0975536939129233
72,1824,10346,18874368,0.0023528092169726733,0.08069419860839844,1.498708963394165,-12.489591963589191,568,0.0068606073,-0.12556087970733643,0.3963974118232727,1.0252081665385049e-05,0.0003,0.2,142.35,1.140430948510766
73,1851,10337,19136512,0.001359098080683907,0.061747074127197266,1.499508261680603,-12.491191551089287,576,0.006032465,-0.12629061937332153,0.5062301754951477,-0.0004385077468214149,0.0003,0.2,140.07,1.1416578736901284
74,1878,10327,19398656,0.0029675059922738,0.07611608505249023,1.508114218711853,-12.510035045444965,584,0.0075311437,-0.12579384446144104,0.38605213165283203,-0.000349690206348896,0.0003,0.2,140.73,1.092393296957016
75,1905,10320,19660800,0.0024690024793017074,0.06756448745727539,1.5151859521865845,-12.540665917098522,592,0.0061764657,-0.1258181780576706,0.42128437757492065,-0.00020213546804370708,0.0003,0.2,141.71,1.0348129495233298
76,1932,10310,19922944,0.002656395403391798,0.06940841674804688,1.5242183208465576,-12.570514261722565,600,0.007463916,-0.12661978602409363,0.42401576042175293,0.00013583066538558342,0.0003,0.2,139.27,1.049237319752574
77,1958,10304,20185088,0.002394612066382251,0.08138084411621094,1.531318187713623,-12.592255249619484,608,0.00781252,-0.1277080476284027,0.42779338359832764,-0.00018913675512521877,0.0003,0.2,156.71,1.2476153586059808
78,1985,10296,20447232,0.0033004184424498817,0.06908559799194336,1.5399616956710815,-12.619003869593143,616,0.0057729967,-0.12806373834609985,0.38332176208496094,-0.000543037176157668,0.0003,0.2,142.32,1.1578145169466734
79,2012,10288,20709376,0.002607347455523268,0.0811314582824707,1.5454972982406616,-12.639867141842842,624,0.0056755655,-0.12814582884311676,0.35636234283447266,-0.00032445502961309103,0.0003,0.2,163.68,1.366505414545536
80,2039,10282,20971520,0.0023435986249751295,0.07321500778198242,1.5529950857162476,-12.66124690324068,632,0.006034297,-0.12931357324123383,0.3957560062408447,-0.0004932890346935892,0.0003,0.2,139.17,1.1124929521977902
81,2067,10270,21233664,0.002418800871964777,0.07735443115234375,1.5611313581466675,-12.68573372066021,640,0.006276247,-0.1297149658203125,0.46935606002807617,0.00019657605298561975,0.0003,0.2,142.69,1.1436204323917627
82,2094,10261,21495808,0.0021326724481696147,0.086517333984375,1.5672134160995483,-12.705658353865147,648,0.0075128586,-0.12596246600151062,0.4371148943901062,-1.1557686320884386e-05,0.0003,0.2,138.1,1.106722647845745
83,2124,10239,21757952,0.002458883593135397,0.06820821762084961,1.5725388526916504,-12.720107205212116,656,0.005623528,-0.127116397023201,0.4187381863594055,-3.835787947537028e-05,0.0003,0.2,151.09,1.2187874281406403
84,2155,10217,22020096,0.002240153333332273,0.0703740119934082,1.5776082277297974,-12.732264377176762,664,0.006944268,-0.130024254322052,0.3901839256286621,-0.0007164648391153605,0.0003,0.2,139.56,1.139942212626338
85,2184,10200,22282240,0.002930808766905102,0.08324480056762695,1.5857712030410767,-12.755698092281818,672,0.0078098252,-0.12710219621658325,0.32800906896591187,-0.00013198309079598403,0.0003,0.2,147.69,1.1447358921915294
86,2211,10192,22544384,0.0025459737744313315,0.0755457878112793,1.5921944379806519,-12.774700224399567,680,0.0069905673,-0.127494215965271,0.4019384980201721,-0.0005086302685413102,0.0003,0.2,153.79,1.2508749027550221
87,2239,10185,22806528,0.002101021757880517,0.08213949203491211,1.5984013080596924,-12.794063560664654,688,0.0062578702,-0.1288634091615677,0.39692556858062744,-0.0001993350388147519,0.0003,0.2,147.14,1.2612757779657842
88,2266,10177,23068672,0.0018982445362780709,0.06397104263305664,1.601244330406189,-12.79952871054411,696,0.010590263,-0.13101135194301605,0.466508150100708,-0.0014354548252413224,0.0003,0.2,147.9,1.2361598082631826
89,2292,10176,23330816,0.0036380155943334103,0.038421630859375,1.601289987564087,-12.800407409667969,697,0.013155776,-0.12908820807933807,0.01939457654953003,-0.000888408530348291,0.0003,0.2,141.68,1.1981109011918307
90,2319,10169,23592960,0.002368253414715582,0.08258819580078125,1.6043564081192017,-12.803547643125057,705,0.0077253035,-0.1287180632352829,0.3461766839027405,-0.0002186424194405845,0.0003,0.2,145.42,1.2745466611534357
91,2346,10166,23855104,0.003107512751739705,0.08747529983520508,1.610571026802063,-12.810311518609524,713,0.0066872127,-0.12977318465709686,0.3598242998123169,-0.0005139682307344628,0.0003,0.2,144.45,1.2247328123450278
92,2373,10160,24117248,0.002742604359809775,0.08069610595703125,1.6152697801589966,-12.82342591136694,721,0.0059508244,-0.1298009157180786,0.42313408851623535,-0.0004896491595900443,0.0003,0.2,133.38,1.0479350417107343
93,2400,10156,24379392,0.0035053883966611465,0.09043598175048828,1.6240233182907104,-12.847856916487217,729,0.006930043,-0.1282847672700882,0.31372690200805664,-0.00012407888516463572,0.0003,0.2,144.52,1.2284951705485583
94,2427,10150,24641536,0.0029985917963131214,0.08642864227294922,1.6284462213516235,-12.864227131009102,737,0.0072970577,-0.12851834297180176,0.4258154630661011,-0.00019164066338817065,0.0003,0.2,154.69,1.2661376992613078
95,2454,10147,24903680,0.0031155836877587717,0.09078550338745117,1.6332138776779175,-12.875544734299183,745,0.0071189636,-0.13090713322162628,0.4319579005241394,-0.0002443009620947123,0.0003,0.2,138.94,1.1660579033195972
96,2481,10142,25165824,0.00279604157913127,0.0933842658996582,1.6394716501235962,-12.88772837817669,753,0.008083159,-0.1287863403558731,0.48794645071029663,4.761319337376335e-05,0.0003,0.2,150.36,1.3342671136558055
97,2507,10140,25427968,0.001884535401529055,0.07063621810719936,1.6431125402450562,-12.893693815303754,758,0.016641347,-0.12079824507236481,0.8081043809652328,0.0017018182618732127,0.0003,0.2,134.97,1.1896098717674612
