time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
720,10915,30,7864320,0.1688944697380066,232,-0.11466726660728455,-11.14538049697876,1.1959017515182495,0.2,0.059121131896972656,0.0003,0.0018100156985383364,-0.0012081117811248987,0.005538026,0.885261841788888,141.12
746,10884,31,8126464,0.31480860710144043,240,-0.11364740878343582,-11.16932500898838,1.1997509002685547,0.2,0.065673828125,0.0003,0.0016305934395859367,-0.0010295656720700208,0.006739298,0.9439897286146879,147.13
773,10850,32,8388608,0.31164515018463135,248,-0.11338066309690475,-11.197427995502949,1.2060331106185913,0.2,0.05737924575805664,0.0003,0.0013785142255073879,-0.001730309325921553,0.0056176824,0.9605738700926304,146.02
799,10824,33,8650752,0.20668458938598633,256,-0.11372824013233185,-11.233661636710167,1.2130202054977417,0.2,0.06801366806030273,0.0003,0.003134596670861356,-0.0011790715370807447,0.0063679395,1.0129265831410885,156.92
825,10801,34,8912896,0.3409827947616577,264,-0.11291970312595367,-11.260037787258625,1.2178372144699097,0.2,0.06127166748046875,0.0003,0.0016019437216527876,-0.0009255331624444807,0.006398428,1.100830644965172,162.63
851,10774,35,9175040,0.4078734517097473,272,-0.1159915179014206,-11.281108640134335,1.2223466634750366,0.2,0.0599522590637207,0.0003,0.0010873878818529192,-0.001808204786357237,0.0054745367,1.3440099146962166,183.17
877,10753,36,9437184,0.2211574912071228,280,-0.11511426419019699,-11.298861347138882,1.226201057434082,0.2,0.0697016716003418,0.0003,0.0021296222248565755,-0.0012210678996780189,0.006831077,1.072552420794964,151.58
903,10731,37,9699328,0.28813016414642334,288,-0.11531656980514526,-11.318650357425213,1.2309234142303467,0.2,0.06858491897583008,0.0003,0.002126142346241977,-0.0007495730451410054,0.0058168774,1.0308918009698391,153.73
929,10713,38,9961472,0.395549476146698,296,-0.11618711799383163,-11.32556563615799,1.2319620847702026,0.2,0.05917167663574219,0.0003,0.001255938215763308,-0.0012520747027338075,0.005302769,1.2109099039435387,158.45
956,10687,39,10223616,0.26559633016586304,304,-0.11441382765769958,-11.357443436980247,1.2401695251464844,0.2,0.07246541976928711,0.0003,0.0019495202623147634,-0.0004997119945073791,0.006494142,0.9698590361326933,139.12
982,10667,40,10485760,0.3956910967826843,312,-0.11471058428287506,-11.379744812846184,1.2439054250717163,0.2,0.053641319274902344,0.0003,0.001463912612052809,-0.0008821451547191828,0.0055289892,0.941047545671463,138.86
1009,10645,41,10747904,0.3628855347633362,320,-0.11401156336069107,-11.401240356266499,1.2493747472763062,0.2,0.062003135681152344,0.0003,0.0019166838101227768,-0.0005049226697337872,0.0063101486,1.0313950996100902,144.56
