time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/std,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/entropy_loss
560,30,14035,7864320,1.2724274396896362,0.2,0.0003,-0.0011014490219167783,0.005944600021393853,232,146.17,0.7626603405922652,0.007439011,0.07050561904907227,-0.11682750284671783,0.27365797758102417,-11.58617828041315
581,31,13985,8126464,1.2840569019317627,0.2,0.0003,-0.000641123208879435,0.009116427794651827,240,159.42,1.0034079168736936,0.006873463,0.07178020477294922,-0.11657001823186874,0.3882470726966858,-11.647869765758514
601,32,13941,8388608,1.2959476709365845,0.2,0.0003,-0.0010507854231036617,0.005277018746710382,248,130.47,0.7319697023928166,0.0056479755,0.06325006484985352,-0.11755616217851639,0.34606635570526123,-11.712260566651821
622,33,13897,8650752,1.3100316524505615,0.2,0.0003,-0.0006846190535725327,0.007776153710437939,256,153.58,1.113812061622739,0.0061230035,0.06975173950195312,-0.11871442943811417,0.3027886748313904,-11.778269119560719
643,34,13853,8912896,1.3258904218673706,0.2,0.0003,-0.0004408913873703568,0.010916072449617786,264,159.61,1.0020020626485349,0.006291057,0.07863473892211914,-0.11841897666454315,0.5091366767883301,-11.852817595005035
664,35,13815,9175040,1.336455225944519,0.2,0.0003,-0.0007598848601446662,0.00744685093377484,272,145.83,0.8536836545169354,0.0050491225,0.05922126770019531,-0.11932295560836792,0.35420578718185425,-11.9193594455719
684,36,13777,9437184,1.3518201112747192,0.2,0.0003,-0.0006584359080079594,0.009081504318601219,280,150.82,0.874150695875287,0.006368201,0.06790304183959961,-0.1200939416885376,0.4543681740760803,-11.987473353743553
705,37,13740,9699328,1.363958716392517,0.2,0.0003,-0.0008052397165556613,0.00787532942922553,288,143.88,0.832910280674696,0.0055210567,0.05624580383300781,-0.12057657539844513,0.4292812943458557,-12.054535053670406
726,38,13703,9961472,1.3811501264572144,0.2,0.0003,-0.0006626511667491286,0.009644582645705668,296,154.12,0.9141309233754873,0.007060929,0.06764698028564453,-0.1209508627653122,0.42201024293899536,-12.131991222500801
748,39,13666,10223616,1.3955941200256348,0.2,0.0003,-0.0006924426620571467,0.006859798835648689,304,147.09,0.9312043415009975,0.0059153372,0.05815410614013672,-0.12322062253952026,0.36047786474227905,-12.208143755793571
769,40,13631,10485760,1.4126267433166504,0.2,0.0003,-0.0005799136242785607,0.013891423979657702,312,158.23,1.0621107839792967,0.00613576,0.06914424896240234,-0.1210358738899231,0.3742019534111023,-12.28245346993208
790,41,13600,10747904,1.4256682395935059,0.2,0.0003,-0.0010497597540961578,0.010266193123243283,320,145.78,0.8720605410635471,0.005949047,0.05603218078613281,-0.1240256205201149,0.642492800951004,-12.35326698422432
811,42,13569,11010048,1.4402931928634644,0.2,0.0003,-0.0007862228335397958,0.01622896143089747,328,135.85,0.888129786029458,0.0061184186,0.07169961929321289,-0.12336869537830353,0.41941773891448975,-12.41955240815878
832,43,13539,11272192,1.4582202434539795,0.2,0.0003,-0.0007576888510811841,0.01675756880285917,336,151.93,0.8619118339568377,0.0057735443,0.0663747787475586,-0.12609224021434784,0.6263490915298462,-12.49999563395977
853,44,13511,11534336,1.4873982667922974,0.2,0.0003,-0.0005887449460715288,0.02026264468440786,344,140.61,0.7934139403700828,0.009692393,0.06290102005004883,-0.12707357108592987,0.767838329076767,-12.603544771671295
874,45,13483,11796480,1.519172191619873,0.2,0.0003,-0.0020901744455841254,0.014808102776441956,352,160.44,0.9942241214960813,0.010186236,0.05520772933959961,-0.13050389289855957,0.5368567705154419,-12.746048785746098
896,46,13455,12058624,1.5391240119934082,0.2,0.0003,-0.0011275504698460281,0.010729141726187663,360,150.44,1.0126249588280916,0.009343803,0.06109809875488281,-0.13049966096878052,0.3187163472175598,-12.867265582084656
917,47,13426,12320768,1.5562635660171509,0.2,0.0003,-0.00010584506571831298,0.012476934072765289,368,157.11,0.8994067350775004,0.007133076,0.0852961540222168,-0.12933756411075592,0.4038878083229065,-12.950915105640888
939,48,13398,12582912,1.5677036046981812,0.2,0.0003,-0.0006035955289007688,0.008631563527160324,376,175.2,1.0956980402767658,0.005838871,0.06533670425415039,-0.1301516890525818,0.34427744150161743,-13.01036923378706
960,49,13372,12845056,1.5858632326126099,0.2,0.0003,-0.0007124839889911527,0.010264473916322459,384,157.3,0.9591877467185259,0.0056326576,0.062433719635009766,-0.12929821014404297,0.4727060794830322,-13.07806347310543
981,50,13348,13107200,1.6046699285507202,0.2,0.0003,-0.0009852745415628306,0.017187398552778177,392,151.77,0.9697372604906559,0.006992236,0.07623672485351562,-0.1313282698392868,0.5756125748157501,-13.15252710133791
1003,51,13323,13369344,1.6231786012649536,0.2,0.0003,0.0002686935140445712,0.012942931170982774,400,136.91,0.9648682138323784,0.00671351,0.06738615036010742,-0.1318349987268448,0.7452098727226257,-13.232167057693005
1024,52,13301,13631488,1.6380083560943604,0.2,0.0003,-0.0007428299804814742,0.013171829818020342,408,134.43,1.1059254167973995,0.0055803023,0.0667881965637207,-0.13266748189926147,0.6788854002952576,-13.298035711050034
1046,53,13279,13893632,1.6575566530227661,0.2,0.0003,-0.0007689901585763437,0.015898315381491557,416,140.64,1.0733375692367553,0.007062342,0.07513952255249023,-0.13238370418548584,0.4530109167098999,-13.369737692177296
1067,54,13256,14155776,1.677688717842102,0.2,0.0003,-0.0005549079442062066,0.015853732533287257,424,140.45,0.9287380365282297,0.0064426884,0.07745361328125,-0.1356351673603058,0.6582883894443512,-13.451686963438988
1089,55,13232,14417920,1.6972229480743408,0.2,0.0003,-0.0006302361480265972,0.014054218678211328,432,150.05,1.0110890120267868,0.0077502364,0.07283544540405273,-0.13500504195690155,0.6871504485607147,-13.529841631650925
1111,56,13210,14680064,1.7108275890350342,0.2,0.0003,-0.0006123504331299046,0.012935329825268127,440,141.6,0.873480350524187,0.006064222,0.07336616516113281,-0.1369761973619461,0.3942275643348694,-13.594240181148052
1133,57,13187,14942208,1.7244149446487427,0.2,0.0003,-0.0007609442459397542,0.008689954680448864,448,163.12,0.9940299464762211,0.005418217,0.060009002685546875,-0.13738566637039185,0.40337926149368286,-13.645357824862003
1154,58,13166,15204352,1.7432485818862915,0.2,0.0003,-0.0006327752666948072,0.009894499602523865,456,150.61,0.8771122179180384,0.006772779,0.07849597930908203,-0.13820137083530426,0.4740869402885437,-13.70974113047123
1176,59,13147,15466496,1.760861873626709,0.2,0.0003,-0.000970069062532275,0.011525637564773206,464,150.95,0.9299160077422858,0.006100785,0.06716156005859375,-0.13770894706249237,0.3558450937271118,-13.781311102211475
1197,60,13132,15728640,1.778146743774414,0.2,0.0003,-0.000514805200509727,0.011995493361609988,472,157.7,0.8971025529503822,0.006094253,0.07543420791625977,-0.13872818648815155,0.5370830595493317,-13.847456447780132
1219,61,13116,15990784,1.7991087436676025,0.2,0.0003,-0.000817777496195049,0.014796257164562121,480,151.86,1.1000543701648713,0.006832456,0.07629632949829102,-0.1382531374692917,0.5843188464641571,-13.919810004532337
1240,62,13102,16252928,1.8145380020141602,0.2,0.0003,-0.0004532116877271619,0.013753229977737647,488,134.33,0.8663669468462467,0.007029224,0.07919025421142578,-0.14002935588359833,0.5295985639095306,-13.985647238790989
1261,63,13088,16515072,1.8323009014129639,0.2,0.0003,-0.0007534703190685832,0.019690394947247114,496,151.77,1.065216905027628,0.0067405393,0.07169055938720703,-0.1397838294506073,0.6172968745231628,-14.046870462596416
1283,64,13075,16777216,1.8559619188308716,0.2,0.0003,-0.0008510005059179093,0.014412713033379987,504,143.21,0.968046454936266,0.007482431,0.0708928108215332,-0.14107835292816162,0.5939825773239136,-14.126549206674099
1304,65,13063,17039360,1.8767684698104858,0.2,0.0003,-0.0006183732252793561,0.015058410273923073,512,157.41,1.0734991244226695,0.0073658763,0.0760660171508789,-0.14195187389850616,0.5147758722305298,-14.203888043761253
1325,66,13051,17301504,1.8997828960418701,0.2,0.0003,-0.000656659773994761,0.012112767777580302,520,152.62,1.2064091400802135,0.0061772093,0.06980323791503906,-0.14254523813724518,0.4625730514526367,-14.283124685287476
1346,67,13041,17563648,1.9239921569824219,0.2,0.0003,-0.0005539298667827097,0.016766634049417917,528,150.48,0.9048558719456196,0.006534656,0.0789189338684082,-0.1425246000289917,0.5934852361679077,-14.368546858429909
1367,68,13032,17825792,1.9483191967010498,0.2,0.0003,-0.0010066515283142508,0.01613932352483971,536,138.93,0.9156425575166941,0.0065331357,0.06539201736450195,-0.1455557495355606,0.5959036648273468,-14.452115923166275
1389,69,13021,18087936,1.9742847681045532,0.2,0.0003,-0.0005229992179920373,0.012407212925609201,544,149.74,1.060097278947942,0.006604088,0.08418035507202148,-0.14555306732654572,0.4652007222175598,-14.538671687245369
1410,70,13009,18350080,1.990839958190918,0.2,0.0003,-0.0007245981146297709,0.01144398389806156,552,145.35,0.9169710519909858,0.0060313004,0.07006454467773438,-0.14672879874706268,0.5423075258731842,-14.606493405997753
1431,71,12998,18612224,2.0135562419891357,0.2,0.0003,-0.0009078141856662114,0.014346943295095116,560,165.45,1.0815581988915801,0.006676411,0.07914400100708008,-0.14698408544063568,0.4171287417411804,-14.669835671782494
1453,72,12987,18874368,2.035076856613159,0.2,0.0003,-0.0004903245458081074,0.01853672591096256,568,166.46,1.26387961871922,0.0071390085,0.08522701263427734,-0.1457764208316803,0.5693027377128601,-14.741775624454021
1474,73,12976,19136512,2.062363862991333,0.2,0.0003,-0.0007001113021942729,0.01755611354019493,576,145.97,0.8848667422682047,0.0076908506,0.09058427810668945,-0.1480667144060135,0.5745202600955963,-14.821593083441257
1496,74,12962,19398656,2.0821800231933594,0.2,0.0003,-0.0007591323483211454,0.011979966984654311,584,138.27,0.9942579302191734,0.007113387,0.07428312301635742,-0.14808692038059235,0.6308624744415283,-14.896264605224133
1518,75,12951,19660800,2.105698823928833,0.2,0.0003,-0.0005363493105505768,0.014042834314750507,592,140.62,0.84935889698565,0.0076344125,0.08842802047729492,-0.149772509932518,0.5477211773395538,-14.966154932975769
1539,76,12941,19922944,2.1352508068084717,0.2,0.0003,-0.00023692203330938355,0.016218462988035753,600,138.24,0.9544486218318343,0.007378188,0.08328723907470703,-0.15062715113162994,0.5929284691810608,-15.051604717969894
1560,77,12931,20185088,2.161127805709839,0.2,0.0003,-0.0007261634518727078,0.014453469309955835,608,144.4,0.9220518304407597,0.007546553,0.07689428329467773,-0.15024974942207336,0.5200045108795166,-15.135516226291656
1582,78,12922,20447232,2.185302495956421,0.2,0.0003,-0.0006671650990028866,0.012570656075695297,616,152.52,0.9296277236193419,0.0072937664,0.08746051788330078,-0.1521604061126709,0.5261565148830414,-15.212650276720524
1603,79,12913,20709376,2.2074365615844727,0.2,0.0003,-0.0007202661754490691,0.018477220932254568,624,145.49,0.9297969325631857,0.0070094443,0.08769893646240234,-0.15356837213039398,0.5570003986358643,-15.280245371162891
1625,80,12904,20971520,2.2322211265563965,0.2,0.0003,-0.0013545429883379256,0.013080142271064688,632,141.12,0.989630623087287,0.007245695,0.08332681655883789,-0.1541195809841156,0.6161205470561981,-15.353726953268051
1646,81,12897,21233664,2.2588822841644287,0.2,0.0003,-0.001015460618873476,0.012408537560986588,640,131.67,1.047352733835578,0.0077864043,0.08482170104980469,-0.15427395701408386,0.5233709216117859,-15.42924489080906
1667,82,12890,21495808,2.283818483352661,0.2,0.0003,-0.0008640676333016017,0.013740029244218022,648,146.65,0.8215995338559151,0.007980105,0.08997535705566406,-0.15545903146266937,0.46717745065689087,-15.498881004750729
1688,83,12884,21757952,2.3047890663146973,0.2,0.0003,-0.00091849719046877,0.010279058835294563,656,139.25,0.9233955642580987,0.0074924324,0.07613134384155273,-0.15715010464191437,0.5571349859237671,-15.560924783349037
1710,84,12876,22020096,2.3291478157043457,0.2,0.0003,-0.001046287972258142,0.018476657016435638,664,136.11,0.8535507133603096,0.006920659,0.09192657470703125,-0.15711736679077148,0.5859403312206268,-15.624259531497955
1731,85,12870,22282240,2.3572254180908203,0.2,0.0003,-0.0006029683790984564,0.013447061741317157,672,122.37,0.772492545992136,0.0072368057,0.08949089050292969,-0.157981276512146,0.5181934237480164,-15.702304549515247
1752,86,12863,22544384,2.3890609741210938,0.2,0.0003,-0.0005646959934892948,0.014632324826379772,680,135.24,0.9725266370177269,0.008703956,0.09805488586425781,-0.15618257224559784,0.5365722179412842,-15.788858950138092
1773,87,12857,22806528,2.4228971004486084,0.2,0.0003,0.0006637822789343772,0.01618375745601952,688,143.92,0.9344727001339197,0.008201563,0.1059408187866211,-0.15859593451023102,0.5340073108673096,-15.880877360701561
1794,88,12851,23068672,2.4426798820495605,0.2,0.0003,0.0015802814323251368,0.013776627594779711,696,131.61,1.0766248501092195,0.008177025,0.07521581649780273,-0.15546683967113495,0.4246740937232971,-15.952100396156311
1816,89,12845,23330816,2.4707870483398438,0.2,0.0003,-0.0006332343027679599,0.01673834156099474,704,130.95,1.0231432557851077,0.0074699214,0.08908653259277344,-0.1583385020494461,0.5904255211353302,-16.017034612596035
1837,90,12840,23592960,2.4951488971710205,0.2,0.0003,-0.0006690467184853333,0.01947589745395817,712,133.0,0.9792028224468231,0.008748243,0.09448432922363281,-0.1594727635383606,0.5615582466125488,-16.084583535790443
1858,91,12835,23855104,2.522042751312256,0.2,0.0003,-0.000852232992201607,0.02213967496936675,720,124.8,1.0619463812932373,0.0074704513,0.0941319465637207,-0.16041767597198486,0.5391317307949066,-16.14936502277851
1879,92,12831,24117248,2.5532243251800537,0.2,0.0003,-0.0007635544150161877,0.020738008723128587,728,137.19,0.8290484541654587,0.00895028,0.09767580032348633,-0.16026616096496582,0.5939019322395325,-16.225083753466606
1900,93,12826,24379392,2.576659679412842,0.2,0.0003,-0.0009348496760139824,0.013062368496321142,736,131.82,0.7958142329752446,0.007414059,0.08679819107055664,-0.1641724407672882,0.548676460981369,-16.293457463383675
1921,94,12820,24641536,2.599781036376953,0.2,0.0003,-0.001121134325330786,0.016549049112654757,744,134.06,1.1040264726430178,0.008795274,0.09357881546020508,-0.16382990777492523,0.5152354538440704,-16.34875324368477
1943,95,12814,24903680,2.635061025619507,0.2,0.0003,-0.000579909045882232,0.017845894471975043,752,163.77,0.972553336918354,0.009314975,0.1023249626159668,-0.16367940604686737,0.6668142378330231,-16.42967264354229
1964,96,12808,25165824,2.661929130554199,0.2,0.0003,-0.0010153347961932013,0.01487031201395439,760,134.93,0.8312079247459769,0.008650866,0.09673070907592773,-0.16434796154499054,0.6456345319747925,-16.509946525096893
1986,97,12802,25427968,2.6889824867248535,0.2,0.0003,-0.0008226720910897711,0.01477334672381403,768,134.03,0.8148776807263494,0.009045599,0.08829021453857422,-0.16530291736125946,0.6458377242088318,-16.573527842760086
2007,98,12795,25690112,2.724430799484253,0.2,0.0003,-0.0007687172856094548,0.020431488956091926,776,126.42,0.7798660476505757,0.009535648,0.11130523681640625,-0.16577816009521484,0.648345559835434,-16.653326004743576
2029,99,12789,25952256,2.7620344161987305,0.2,0.0003,-0.000832940973850782,0.020136097380600404,784,138.0,0.9678523890674114,0.008725198,0.1107182502746582,-0.1673586219549179,0.6220811307430267,-16.742343306541443
2050,100,12783,26214400,2.7926523685455322,0.2,0.0003,-0.0006100376144786424,0.018450720475811977,792,128.81,1.18734826233238,0.008124434,0.10213375091552734,-0.16723981499671936,0.5755118727684021,-16.820009544491768
2072,101,12777,26476544,2.8313698768615723,0.2,0.0003,-0.0006288411991590692,0.020873186986136716,800,131.95,0.8253480149805545,0.009436025,0.10578298568725586,-0.1697150468826294,0.610894501209259,-16.90660034120083
2093,102,12771,26738688,2.8638432025909424,0.2,0.0003,-0.0011027795544578112,0.018952221878862474,808,138.16,0.7218727540969848,0.007932199,0.09098672866821289,-0.16981275379657745,0.5140337646007538,-16.989407420158386
